"BehaviorSpace results (NetLogo 6.2.0)"
"/home/h2/s1426633/IPS-SPREADS-2-4-MM.nlogo"
"UPS1"
"08/04/2022 09:15:31:083 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","sanitation-felling","path-to-input","[step]","nhost1","nhost2","nhost3","prima1","prima2","prima3","count spruce","ncut1","ncut2","ncut3"
"154","0","input/5500/","46450","165","289","397","4.570271557884707","4.163887565507385","3.4773701762744165","2099","0","0","0"
"155","0","input/5500/","46263","163","290","403","4.570271557884707","4.168651738923296","3.4802286803239637","2099","0","0","0"
"153","0","input/5500/","47277","167","295","396","4.570271557884707","4.159599809433064","3.4592663172939493","2099","0","0","0"
"161","0","input/5520/","23144","5","0","0","4.917590027700831","4.896814404432133","0","1444","0","0","0"
"162","0","input/5520/","23278","5","0","0","4.917590027700831","4.896814404432133","0","1444","0","0","0"
"163","0","input/5520/","23848","6","0","0","4.917590027700831","4.892659279778393","0","1444","0","0","0"
"164","0","input/5520/","37290","5","1","0","4.917590027700831","4.896814404432133","4.892659279778393","1444","0","0","0"
"165","0","input/5520/","23092","5","0","0","4.917590027700831","4.896814404432133","0","1444","0","0","0"
"166","0","input/5520/","20267","5","0","0","4.917590027700831","4.896814404432133","0","1444","0","0","0"
"167","0","input/5520/","22915","5","0","0","4.917590027700831","4.896814404432133","0","1444","0","0","0"
"168","0","input/5520/","23510","5","0","0","4.917590027700831","4.896814404432133","0","1444","0","0","0"
"169","0","input/5520/","23902","6","0","0","4.917590027700831","4.892659279778393","0","1444","0","0","0"
"156","0","input/5500/","47075","164","294","407","4.570271557884707","4.166269652215341","3.467841829442592","2099","0","0","0"
"157","0","input/5500/","46176","164","289","397","4.570271557884707","4.166269652215341","3.4802286803239637","2099","0","0","0"
"170","0","input/5520/","23146","5","0","0","4.917590027700831","4.896814404432133","0","1444","0","0","0"
"158","0","input/5500/","46869","164","293","400","4.570271557884707","4.16579323487375","3.470700333492139","2099","0","0","0"
"159","0","input/5500/","46492","163","290","402","4.570271557884707","4.168651738923296","3.4802286803239637","2099","0","0","0"
"171","0","input/5884/","40482","10","8","6","5.23444976076555","5.088516746411483","4.9688995215311005","418","0","0","0"
"172","0","input/5884/","40286","11","12","19","5.23444976076555","5.07177033492823","4.8875598086124405","418","0","0","0"
"181","0","input/6037/","8156","0","0","0","4.654761904761905","0","0","672","0","0","0"
"173","0","input/5884/","40882","12","12","16","5.23444976076555","5.057416267942584","4.87799043062201","418","0","0","0"
"175","0","input/5884/","39517","10","9","8","5.23444976076555","5.090909090909091","4.95933014354067","418","0","0","0"
"182","0","input/6037/","8082","0","0","0","4.654761904761905","0","0","672","0","0","0"
"183","0","input/6037/","8094","0","0","0","4.654761904761905","0","0","672","0","0","0"
"184","0","input/6037/","8104","0","0","0","4.654761904761905","0","0","672","0","0","0"
"177","0","input/5884/","40885","11","9","11","5.23444976076555","5.076555023923445","4.940191387559809","418","0","0","0"
"178","0","input/5884/","39886","10","9","8","5.23444976076555","5.090909090909091","4.95933014354067","418","0","0","0"
"185","0","input/6037/","8100","0","0","0","4.654761904761905","0","0","672","0","0","0"
"186","0","input/6037/","8099","0","0","0","4.654761904761905","0","0","672","0","0","0"
"176","0","input/5884/","40271","12","11","13","5.23444976076555","5.059808612440191","4.894736842105263","418","0","0","0"
"187","0","input/6037/","8117","0","0","0","4.654761904761905","0","0","672","0","0","0"
"188","0","input/6037/","8090","0","0","0","4.654761904761905","0","0","672","0","0","0"
